n_records,rep,implementation,threads,elapsed_sec,kernel_sec,input_file,expected_file
1000000,5,r_psock,8,2.7899999999999636,NA,n1000000_rep05_input.bin,n1000000_rep05_r_expected.bin
2000000,1,r_sequential,1,19.876999999999953,NA,n2000000_rep01_input.bin,n2000000_rep01_r_expected.bin
2000000,1,r_psock,8,5.242999999999938,NA,n2000000_rep01_input.bin,n2000000_rep01_r_expected.bin
2000000,2,r_sequential,1,19.215000000000032,NA,n2000000_rep02_input.bin,n2000000_rep02_r_expected.bin
2000000,2,r_psock,8,5.254000000000019,NA,n2000000_rep02_input.bin,n2000000_rep02_r_expected.bin
2000000,3,r_sequential,1,19.597999999999956,NA,n2000000_rep03_input.bin,n2000000_rep03_r_expected.bin
2000000,3,r_psock,8,4.902000000000044,NA,n2000000_rep03_input.bin,n2000000_rep03_r_expected.bin
2000000,4,r_sequential,1,19.293000000000006,NA,n2000000_rep04_input.bin,n2000000_rep04_r_expected.bin
2000000,4,r_psock,8,4.9529999999999745,NA,n2000000_rep04_input.bin,n2000000_rep04_r_expected.bin
2000000,5,r_sequential,1,19.496999999999957,NA,n2000000_rep05_input.bin,n2000000_rep05_r_expected.bin
2000000,5,r_psock,8,5.072000000000003,NA,n2000000_rep05_input.bin,n2000000_rep05_r_expected.bin
5000000,1,r_sequential,1,48.15000000000009,NA,n5000000_rep01_input.bin,n5000000_rep01_r_expected.bin
5000000,1,r_psock,8,12.065000000000055,NA,n5000000_rep01_input.bin,n5000000_rep01_r_expected.bin
5000000,2,r_sequential,1,48.03100000000006,NA,n5000000_rep02_input.bin,n5000000_rep02_r_expected.bin
5000000,2,r_psock,8,11.950000000000045,NA,n5000000_rep02_input.bin,n5000000_rep02_r_expected.bin
5000000,3,r_sequential,1,47.83100000000002,NA,n5000000_rep03_input.bin,n5000000_rep03_r_expected.bin
5000000,3,r_psock,8,11.47199999999998,NA,n5000000_rep03_input.bin,n5000000_rep03_r_expected.bin
5000000,4,r_sequential,1,48.19900000000007,NA,n5000000_rep04_input.bin,n5000000_rep04_r_expected.bin
5000000,4,r_psock,8,11.831999999999994,NA,n5000000_rep04_input.bin,n5000000_rep04_r_expected.bin
5000000,5,r_sequential,1,47.698999999999955,NA,n5000000_rep05_input.bin,n5000000_rep05_r_expected.bin
5000000,5,r_psock,8,11.830999999999904,NA,n5000000_rep05_input.bin,n5000000_rep05_r_expected.bin
