n_records,rep,workers,sequential_elapsed_sec,parallel_elapsed_sec,sequential_per_sample_microsec,parallel_per_sample_microsec,speedup,deterministic_equivalence_passed,max_abs_pbio_diff,max_abs_rcs_diff,identical_final_grade,identical_grade_route,cluster_strategy
10000,1,4,0.29200000000000026,0.2120000000000002,29.200000000000024,21.200000000000017,1.3773584905660377,TRUE,0,0,TRUE,TRUE,persistent_cluster
10000,2,4,0.13000000000000078,0.12899999999999956,13.000000000000078,12.899999999999956,1.0077519379845057,TRUE,0,0,TRUE,TRUE,persistent_cluster
10000,3,4,0.1260000000000003,0.09199999999999964,12.600000000000032,9.199999999999964,1.369565217391313,TRUE,0,0,TRUE,TRUE,persistent_cluster
10000,4,4,0.12399999999999968,0.08800000000000008,12.399999999999968,8.800000000000008,1.409090909090904,TRUE,0,0,TRUE,TRUE,persistent_cluster
10000,5,4,0.125,0.12199999999999989,12.5,12.199999999999989,1.0245901639344273,TRUE,0,0,TRUE,TRUE,persistent_cluster
50000,1,4,0.6129999999999995,0.3860000000000001,12.259999999999993,7.720000000000002,1.5880829015544025,TRUE,0,0,TRUE,TRUE,persistent_cluster
50000,2,4,0.5889999999999986,0.3719999999999999,11.779999999999973,7.439999999999998,1.5833333333333302,TRUE,0,0,TRUE,TRUE,persistent_cluster
50000,3,4,0.5950000000000006,0.3710000000000005,11.900000000000013,7.420000000000009,1.6037735849056602,TRUE,0,0,TRUE,TRUE,persistent_cluster
50000,4,4,0.5940000000000012,0.3340000000000014,11.880000000000024,6.680000000000028,1.7784431137724512,TRUE,0,0,TRUE,TRUE,persistent_cluster
50000,5,4,0.5989999999999984,0.3420000000000005,11.979999999999968,6.8400000000000105,1.7514619883040865,TRUE,0,0,TRUE,TRUE,persistent_cluster
100000,1,4,1.177999999999999,0.8539999999999992,11.77999999999999,8.539999999999992,1.3793911007025763,TRUE,0,0,TRUE,TRUE,persistent_cluster
100000,2,4,1.1819999999999986,0.7010000000000005,11.819999999999986,7.010000000000005,1.68616262482168,TRUE,0,0,TRUE,TRUE,persistent_cluster
100000,3,4,1.161999999999999,0.8059999999999974,11.61999999999999,8.059999999999974,1.4416873449131549,TRUE,0,0,TRUE,TRUE,persistent_cluster
100000,4,4,1.2410000000000032,0.7759999999999998,12.410000000000032,7.759999999999999,1.599226804123716,TRUE,0,0,TRUE,TRUE,persistent_cluster
100000,5,4,1.1640000000000017,0.7210000000000001,11.640000000000017,7.210000000000001,1.6144244105409171,TRUE,0,0,TRUE,TRUE,persistent_cluster
500000,1,4,6.169999999999998,4.505000000000003,12.339999999999996,9.010000000000003,1.3695893451720298,TRUE,0,0,TRUE,TRUE,persistent_cluster
500000,2,4,5.878,4.18,11.756,8.36,1.40622009569378,TRUE,0,0,TRUE,TRUE,persistent_cluster
500000,3,4,5.922000000000004,4.201999999999998,11.844000000000008,8.403999999999996,1.4093288910042854,TRUE,0,0,TRUE,TRUE,persistent_cluster
500000,4,4,5.853999999999999,4.069000000000003,11.707999999999998,8.138000000000005,1.43868272302777,TRUE,0,0,TRUE,TRUE,persistent_cluster
500000,5,4,5.8559999999999945,4.030999999999992,11.711999999999987,8.061999999999983,1.4527412552716463,TRUE,0,0,TRUE,TRUE,persistent_cluster
1000000,1,4,11.792999999999992,8.427999999999997,11.792999999999992,8.427999999999997,1.3992643569055525,TRUE,0,0,TRUE,TRUE,persistent_cluster
1000000,2,4,11.74499999999999,8.075999999999993,11.74499999999999,8.075999999999993,1.4543090638930165,TRUE,0,0,TRUE,TRUE,persistent_cluster
1000000,3,4,11.65100000000001,7.879000000000019,11.65100000000001,7.879000000000019,1.4787409569742331,TRUE,0,0,TRUE,TRUE,persistent_cluster
1000000,4,4,11.714,7.585000000000008,11.714,7.585000000000008,1.5443638760711913,TRUE,0,0,TRUE,TRUE,persistent_cluster
1000000,5,4,11.520999999999988,7.9199999999999875,11.520999999999988,7.919999999999987,1.4546717171717178,TRUE,0,0,TRUE,TRUE,persistent_cluster
2000000,1,4,23.192999999999984,15.517000000000024,11.596499999999992,7.758500000000012,1.4946832506283396,TRUE,0,0,TRUE,TRUE,persistent_cluster
2000000,2,4,22.863,15.544000000000011,11.4315,7.7720000000000065,1.470856922285125,TRUE,0,0,TRUE,TRUE,persistent_cluster
2000000,3,4,22.882000000000005,15.27000000000004,11.441000000000004,7.635000000000019,1.498493778650946,TRUE,0,0,TRUE,TRUE,persistent_cluster
2000000,4,4,22.670999999999992,15.52800000000002,11.335499999999996,7.764000000000011,1.460007727975268,TRUE,0,0,TRUE,TRUE,persistent_cluster
2000000,5,4,22.783999999999992,15.226999999999975,11.391999999999996,7.613499999999988,1.4962894857818367,TRUE,0,0,TRUE,TRUE,persistent_cluster
5000000,1,4,57.62299999999999,38.05200000000002,11.524599999999998,7.610400000000004,1.5143225060443593,TRUE,0,0,TRUE,TRUE,persistent_cluster
5000000,2,4,57.45100000000002,36.947,11.490200000000003,7.389400000000001,1.554957100711831,TRUE,0,0,TRUE,TRUE,persistent_cluster
5000000,3,4,57.21600000000001,36.053,11.4432,7.2106,1.5869969211993458,TRUE,0,0,TRUE,TRUE,persistent_cluster
5000000,4,4,57.002000000000066,36.372999999999934,11.400400000000014,7.274599999999987,1.567151458499441,TRUE,0,0,TRUE,TRUE,persistent_cluster
5000000,5,4,56.547000000000025,35.69900000000007,11.309400000000004,7.139800000000014,1.5839939494103452,TRUE,0,0,TRUE,TRUE,persistent_cluster
