n_records,workload,comparison,repetitions,arithmetic_mean,median,geometric_mean,log_sd,log_se,log_ci95,ymin,ymax
10000,10000,R/PSOCK vs R sequential,5,1.0952100169269707,1.1264367816094885,1.0638943107655763,0.2728910359409943,0.12204058136288029,0.33883897476046204,0.7581280920356634,1.4929813528478455
10000,10000,C++ sequential vs R sequential,5,588.0359758533511,591.4088807889467,587.8940641504635,0.024646318761528466,0.011022168829181216,0.03060244669444388,570.1755648790661,606.1631749102663
10000,10000,C++/OpenMP vs R sequential,5,336.8991291720238,351.4220040378144,335.3866930032545,0.10870338068040254,0.04861362971708348,0.13497307427389443,293.04058046955555,383.8520714892777
10000,10000,C++/CUDA vs R sequential,5,0.5599007967068274,0.6236144345183189,0.5366893549056915,0.35324095998110466,0.15797415979100657,0.4386065826994743,0.3461294582737658,0.8321610795729211
50000,50000,R/PSOCK vs R sequential,5,3.3665445157852147,3.5220588235301493,3.359783469696117,0.07123132802769763,0.031855618319503586,0.08844537555623488,3.075388247996514,3.670478018701226
50000,50000,C++ sequential vs R sequential,5,556.4506985817134,556.250384672091,556.4154088289454,0.012578148068374664,0.005625118822388684,0.015617833620577039,547.792913164799,565.1736262771665
50000,50000,C++/OpenMP vs R sequential,5,1192.3827037152312,1220.6950028278982,1190.8684315023143,0.05694969251471251,0.02546867675212162,0.07071238290429291,1109.5676472170348,1278.1263266874832
50000,50000,C++/CUDA vs R sequential,5,3.0865546957077683,3.0738946563594016,3.0863346742945814,0.013316112701699473,0.005955146639409679,0.016534137737724094,3.0357243437459744,3.1377887591727003
100000,100000,R/PSOCK vs R sequential,5,3.783957272945344,3.827309236947325,3.783078729516936,0.02419299283523473,0.010819435311750045,0.030039568212312573,3.671126593331729,3.8984448805768133
100000,100000,C++ sequential vs R sequential,5,546.0958741058294,545.884876556497,546.0514349615634,0.01427167487215015,0.006382487033380671,0.01772062488281815,536.4602938064904,555.8140519736916
100000,100000,C++/OpenMP vs R sequential,5,1763.475497392859,1804.391764063917,1758.4953070458355,0.08563621959052778,0.038297681668103864,0.10633141080783023,1581.1099389220235,1955.7816118786238
100000,100000,C++/CUDA vs R sequential,5,6.046596224813715,6.016479459891097,6.04618251840302,0.01307674951919007,0.005848100169929337,0.016236929091506692,5.948803786741923,6.145155287742928
500000,500000,R/PSOCK vs R sequential,5,3.6049605413767796,3.5374907201188672,3.6018795734537536,0.046160909595656156,0.0206437863518219,0.05731633956926492,3.4012379673031767,3.8143571800564255
500000,500000,C++ sequential vs R sequential,5,485.7565995426117,470.9221401146706,485.0364122156084,0.0602357572794606,0.02693824959061034,0.07479257121844654,450.08272249380934,522.7046260995398
500000,500000,C++/OpenMP vs R sequential,5,2914.209436387004,2782.2445502456685,2906.659025738788,0.0797916428813912,0.035683907503835585,0.09907441032335512,2632.489325603702,3209.3830769745855
500000,500000,C++/CUDA vs R sequential,5,29.184250884358775,28.34659282615392,29.148468685084048,0.054780415554671245,0.024498546603186348,0.06801886980087676,27.231748295261124,31.20009840988354
1000000,1000000,R/PSOCK vs R sequential,5,3.530125683262151,3.5059373875494604,3.5298210965051626,0.01467638101431885,0.006563477122340853,0.018223133929400958,3.4660792460095466,3.5947351716431557
1000000,1000000,C++ sequential vs R sequential,5,486.4699107445957,484.1636736169913,486.4207611941845,0.015889058949855345,0.007105803182075594,0.01972887246337269,476.918272940336,496.11258436795083
1000000,1000000,C++/OpenMP vs R sequential,5,3022.229837031198,3093.9912169137565,3017.856345815594,0.060852414851964444,0.027214027240802057,0.07555825272544428,2798.234009632883,3254.715971797627
1000000,1000000,C++/CUDA vs R sequential,5,45.12582089149351,40.59854227106611,44.717404271203655,0.14959492122898385,0.06690088259134686,0.18574662800415725,37.13708830874627,53.84499258880561
2000000,2000000,R/PSOCK vs R sequential,5,3.8371168870651164,3.8440457413249107,3.8354466479932685,0.03303575833716857,0.014774040266032866,0.041019311780622056,3.681302325915193,3.996045335924874
2000000,2000000,C++ sequential vs R sequential,5,500.5796334011067,498.7680096666843,500.54114088788356,0.013839953177497786,0.0061894152220598525,0.01718457159732479,492.01304154975224,509.2170584181749
2000000,2000000,C++/OpenMP vs R sequential,5,3329.4602153493047,3402.7157850095086,3326.262780000985,0.049414504833981264,0.02209883837665481,0.0613562116414204,3128.3107858128583,3536.740701018621
2000000,2000000,C++/CUDA vs R sequential,5,72.00791059675859,72.03954120614816,72.00618988356882,0.007733174089803119,0.003458380589327967,0.009602003859150695,71.31809500204496,72.70092367722243
5000000,5000000,R/PSOCK vs R sequential,5,4.056978495979019,4.031696390837659,4.056506157681883,0.017023601929138016,0.007613186227089832,0.02113759363516282,3.9716612465888512,4.143163574548052
5000000,5000000,C++ sequential vs R sequential,5,492.5238034836083,491.49666665021397,492.5185846908699,0.005144500767649709,0.00230069068535292,0.006387741391922271,489.3825301572499,495.67473564688305
5000000,5000000,C++/OpenMP vs R sequential,5,2980.156748814991,3311.520625512209,2875.528727538426,0.3189909109245866,0.14265707220639118,0.39607952984928296,1935.0961839659137,4272.999725498095
5000000,5000000,C++/CUDA vs R sequential,5,138.79726178755664,139.2476463836475,138.7886113536574,0.012487529969723372,0.00558459317667347,0.015505316389896051,136.65324754992042,140.95734266717594
