n_records,mean_speedup,sd_speedup,n_reps,se_speedup,ci95_speedup,ymin,ymax
10000,1.2376713437934375,0.20282978245966177,5,0.09070823628825964,0.25184643864366335,0.9858249051497741,1.4895177824371009
50000,1.6610189843739862,0.09565580411016832,5,0.042778576086548024,0.11877236818282765,1.5422466161911585,1.7797913525568139
100000,1.544178457020409,0.12824158771068875,5,0.05735138153272033,0.1592329625328525,1.3849454944875563,1.7034114195532615
500000,1.4153124620339024,0.03223414852935157,5,0.014415549461690994,0.040023981741648645,1.3752884802922538,1.455336443775551
1000000,1.4662699942031423,0.052491710324812806,5,0.0234750065083018,0.06517706691446087,1.4010929272886814,1.5314470611176032
2000000,1.484066233064303,0.01748985848274975,5,0.007821702496855954,0.02171652761170907,1.462349705452594,1.5057827606760121
5000000,1.5614843871730644,0.02939614763076762,5,0.013146356875803157,0.036500138199007034,1.5249842489740573,1.5979845253720715
