n_records,workload,rep,comparison_id,speedup,comparison
1000000,1000000,2,r_psock,3.5917071348524217,R/PSOCK vs R sequential
1000000,1000000,2,cpp_sequential,481.90505412898943,C++ sequential vs R sequential
1000000,1000000,2,cpp_openmp,3154.127084258005,C++/OpenMP vs R sequential
1000000,1000000,2,cpp_cuda,39.51774573450531,C++/CUDA vs R sequential
1000000,1000000,3,r_psock,3.580406654343733,R/PSOCK vs R sequential
1000000,1000000,3,cpp_sequential,484.1636736169913,C++ sequential vs R sequential
1000000,1000000,3,cpp_openmp,3014.8901642982664,C++/OpenMP vs R sequential
1000000,1000000,3,cpp_cuda,40.227706847420876,C++/CUDA vs R sequential
1000000,1000000,4,r_psock,3.490498386518486,R/PSOCK vs R sequential
1000000,1000000,4,cpp_sequential,493.42262821474293,C++ sequential vs R sequential
1000000,1000000,4,cpp_openmp,2718.4635193924087,C++/OpenMP vs R sequential
1000000,1000000,4,cpp_cuda,51.77170595381327,C++/CUDA vs R sequential
1000000,1000000,5,r_psock,3.482078853046652,R/PSOCK vs R sequential
1000000,1000000,5,cpp_sequential,495.508216740141,C++ sequential vs R sequential
1000000,1000000,5,cpp_openmp,3129.6772002935522,C++/OpenMP vs R sequential
1000000,1000000,5,cpp_cuda,53.51340365066199,C++/CUDA vs R sequential
2000000,2000000,1,r_psock,3.7911501049018095,R/PSOCK vs R sequential
2000000,2000000,1,cpp_sequential,512.0425176901572,C++ sequential vs R sequential
2000000,2000000,1,cpp_openmp,3422.6572783081588,C++/OpenMP vs R sequential
2000000,2000000,1,cpp_cuda,72.5763172271135,C++/CUDA vs R sequential
2000000,2000000,2,r_psock,3.6572135515797415,R/PSOCK vs R sequential
2000000,2000000,2,cpp_sequential,493.2805764002155,C++ sequential vs R sequential
2000000,2000000,2,cpp_openmp,3061.696653182353,C++/OpenMP vs R sequential
2000000,2000000,2,cpp_cuda,71.20064255847136,C++/CUDA vs R sequential
2000000,2000000,3,r_psock,3.997960016319825,R/PSOCK vs R sequential
2000000,2000000,3,cpp_sequential,500.7056326598842,C++ sequential vs R sequential
2000000,2000000,3,cpp_openmp,3458.1609811168596,C++/OpenMP vs R sequential
2000000,2000000,3,cpp_cuda,72.45743601646613,C++/CUDA vs R sequential
2000000,2000000,4,r_psock,3.8952150211992946,R/PSOCK vs R sequential
2000000,2000000,4,cpp_sequential,498.7680096666843,C++ sequential vs R sequential
2000000,2000000,4,cpp_openmp,3302.070379129643,C++/OpenMP vs R sequential
2000000,2000000,4,cpp_cuda,71.76561597559378,C++/CUDA vs R sequential
2000000,2000000,5,r_psock,3.8440457413249107,R/PSOCK vs R sequential
2000000,2000000,5,cpp_sequential,498.1014305885925,C++ sequential vs R sequential
2000000,2000000,5,cpp_openmp,3402.7157850095086,C++/OpenMP vs R sequential
2000000,2000000,5,cpp_cuda,72.03954120614816,C++/CUDA vs R sequential
5000000,5000000,1,r_psock,3.9908827186075313,R/PSOCK vs R sequential
5000000,5000000,1,cpp_sequential,496.28396174736076,C++ sequential vs R sequential
5000000,5000000,1,cpp_openmp,3311.520625512209,C++/OpenMP vs R sequential
5000000,5000000,1,cpp_cuda,139.2476463836475,C++/CUDA vs R sequential
5000000,5000000,2,r_psock,4.019330543933045,R/PSOCK vs R sequential
5000000,5000000,2,cpp_sequential,493.87953785436446,C++ sequential vs R sequential
5000000,5000000,2,cpp_openmp,3465.8034496690066,C++/OpenMP vs R sequential
5000000,5000000,2,cpp_cuda,140.49511894490948,C++/CUDA vs R sequential
5000000,5000000,3,r_psock,4.169368898186899,R/PSOCK vs R sequential
5000000,5000000,3,cpp_sequential,490.90391913874095,C++ sequential vs R sequential
5000000,5000000,3,cpp_openmp,1651.737853997784,C++/OpenMP vs R sequential
5000000,5000000,3,cpp_cuda,136.98805508036207,C++/CUDA vs R sequential
5000000,5000000,4,r_psock,4.07361392832996,R/PSOCK vs R sequential
5000000,5000000,4,cpp_sequential,490.05493202736136,C++ sequential vs R sequential
5000000,5000000,4,cpp_openmp,3551.939347535004,C++/OpenMP vs R sequential
5000000,5000000,4,cpp_cuda,140.29681507280608,C++/CUDA vs R sequential
5000000,5000000,5,r_psock,4.031696390837659,R/PSOCK vs R sequential
5000000,5000000,5,cpp_sequential,491.49666665021397,C++ sequential vs R sequential
5000000,5000000,5,cpp_openmp,2919.78246736095,C++/OpenMP vs R sequential
5000000,5000000,5,cpp_cuda,136.958673456058,C++/CUDA vs R sequential
