n_profiles,elapsed_seconds
10000,0.12399999999999968
10000,0.125
10000,0.12400000000000055
10000,0.12599999999999945
10000,0.12399999999999878
50000,0.6030000000000015
50000,0.5729999999999986
50000,0.5809999999999995
50000,0.5879999999999992
50000,0.5760000000000005
100000,1.1479999999999997
100000,1.261000000000001
100000,1.1660000000000004
100000,1.1479999999999997
100000,1.158999999999999
500000,6.209
500000,5.829000000000004
500000,5.8459999999999965
500000,5.808
500000,5.709999999999994
1000000,11.910999999999994
1000000,11.506
1000000,11.750000000000014
1000000,11.603000000000009
1000000,11.634
2000000,23.64099999999999
2000000,23.132000000000005
2000000,22.561000000000007
2000000,22.31400000000002
2000000,22.239000000000004
5000000,56.012
5000000,56.168000000000006
5000000,55.58600000000001
5000000,55.418000000000006
5000000,55.67599999999999
