n_records,execution_mode,mean_elapsed_seconds,sd_elapsed_seconds,n_reps,se_elapsed_seconds,ci95_elapsed_seconds,ymin,ymax,legend_label
10000,Sequential,0.1594000000000002,0.07416063645897335,5,0.03316564487538274,0.09208259237498469,0.06731740762501552,0.2514825923749849,Sequential mean ± 95% CI
10000,Parallel,0.12859999999999988,0.04996798975344128,5,0.02234636435754153,0.06204345393946262,0.06655654606053726,0.1906434539394625,Parallel mean ± 95% CI
50000,Sequential,0.5979999999999996,0.009110433579144222,5,0.004074309757492638,0.011312097383250043,0.5866879026167496,0.6093120973832497,Sequential mean ± 95% CI
50000,Parallel,0.3610000000000005,0.02199999999999953,5,0.009838699100998865,0.027316607960482228,0.33368339203951825,0.38831660796048273,Parallel mean ± 95% CI
100000,Sequential,1.1854000000000002,0.032261432082288106,5,0.01442775103749776,0.04005785874707304,1.1453421412529272,1.2254578587470732,Sequential mean ± 95% CI
100000,Parallel,0.7715999999999994,0.062324152621595276,5,0.027872208380391752,0.07738565652879159,0.6942143434712078,0.848985656528791,Parallel mean ± 95% CI
500000,Sequential,5.935999999999999,0.13364131097830492,5,0.05976621118993574,0.16593760451451467,5.770062395485485,6.1019376045145135,Sequential mean ± 95% CI
500000,Parallel,4.197399999999999,0.18649209098511635,5,0.08340179854175916,0.2315605153259597,3.9658394846740395,4.428960515325959,Parallel mean ± 95% CI
1000000,Sequential,11.684799999999996,0.10506759728860304,5,0.046987657953977795,0.13045865293102982,11.554341347068966,11.815258652931025,Sequential mean ± 95% CI
1000000,Parallel,7.977600000000001,0.30810598825728286,5,0.13778918680360727,0.3825641132500598,7.595035886749941,8.360164113250061,Parallel mean ± 95% CI
2000000,Sequential,22.878599999999995,0.1943895573326886,5,0.08693365286239688,0.24136651496676595,22.637233485033228,23.119966514966762,Sequential mean ± 95% CI
2000000,Parallel,15.417200000000014,0.1550474121035317,5,0.0693393106397841,0.19251678962361785,15.224683210376396,15.609716789623631,Parallel mean ± 95% CI
5000000,Sequential,57.16780000000002,0.4191106059263923,5,0.18743196098850787,0.5203945506441664,56.64740544935585,57.68819455064419,Sequential mean ± 95% CI
5000000,Parallel,36.62480000000001,0.9203500421035425,5,0.4115930514476629,1.1427655130252872,35.48203448697472,37.767565513025296,Parallel mean ± 95% CI
