n_records,workload,rep,component_id,speedup,component
500000,500000,1,language_gain,537.9569696430871,"Language effect
R sequential / C++ sequential"
500000,500000,1,openmp_gain,6.120040788271291,"OpenMP effect
C++ sequential / C++ OpenMP"
500000,500000,1,cuda_gain,0.05963434311927208,"CUDA effect
C++ sequential / C++ CUDA"
500000,500000,2,psock_gain,3.5374907201188672,"R parallelization
R sequential / R PSOCK"
500000,500000,2,language_gain,467.0627175541914,"Language effect
R sequential / C++ sequential"
500000,500000,2,openmp_gain,5.956897105414662,"OpenMP effect
C++ sequential / C++ OpenMP"
500000,500000,2,cuda_gain,0.06037943371302863,"CUDA effect
C++ sequential / C++ CUDA"
500000,500000,3,psock_gain,3.4963289280471184,"R parallelization
R sequential / R PSOCK"
500000,500000,3,language_gain,470.9221401146706,"Language effect
R sequential / C++ sequential"
500000,500000,3,openmp_gain,5.901408343847862,"OpenMP effect
C++ sequential / C++ OpenMP"
500000,500000,3,cuda_gain,0.060193799381043044,"CUDA effect
C++ sequential / C++ CUDA"
500000,500000,4,psock_gain,3.426820475847322,"R parallelization
R sequential / R PSOCK"
500000,500000,4,language_gain,466.69090618452765,"Language effect
R sequential / C++ sequential"
500000,500000,4,openmp_gain,5.808316732528093,"OpenMP effect
C++ sequential / C++ OpenMP"
500000,500000,4,cuda_gain,0.06058623441854973,"CUDA effect
C++ sequential / C++ CUDA"
500000,500000,5,psock_gain,3.7600607441153917,"R parallelization
R sequential / R PSOCK"
500000,500000,5,language_gain,486.1502642165818,"Language effect
R sequential / C++ sequential"
500000,500000,5,openmp_gain,6.184695988386107,"OpenMP effect
C++ sequential / C++ OpenMP"
500000,500000,5,cuda_gain,0.059689207602942204,"CUDA effect
C++ sequential / C++ CUDA"
1000000,1000000,1,psock_gain,3.5059373875494604,"R parallelization
R sequential / R PSOCK"
1000000,1000000,1,language_gain,477.34998102211387,"Language effect
R sequential / C++ sequential"
1000000,1000000,1,openmp_gain,6.4815991199765515,"OpenMP effect
C++ sequential / C++ OpenMP"
1000000,1000000,1,cuda_gain,0.08504984578429328,"CUDA effect
C++ sequential / C++ CUDA"
1000000,1000000,2,psock_gain,3.5917071348524217,"R parallelization
R sequential / R PSOCK"
1000000,1000000,2,language_gain,481.90505412898943,"Language effect
R sequential / C++ sequential"
1000000,1000000,2,openmp_gain,6.545121403548827,"OpenMP effect
C++ sequential / C++ OpenMP"
1000000,1000000,2,cuda_gain,0.08200317758843792,"CUDA effect
C++ sequential / C++ CUDA"
1000000,1000000,3,psock_gain,3.580406654343733,"R parallelization
R sequential / R PSOCK"
1000000,1000000,3,language_gain,484.1636736169913,"Language effect
R sequential / C++ sequential"
1000000,1000000,3,openmp_gain,6.227006131573729,"OpenMP effect
C++ sequential / C++ OpenMP"
1000000,1000000,3,cuda_gain,0.08308699937543007,"CUDA effect
C++ sequential / C++ CUDA"
1000000,1000000,4,psock_gain,3.490498386518486,"R parallelization
R sequential / R PSOCK"
1000000,1000000,4,language_gain,493.42262821474293,"Language effect
R sequential / C++ sequential"
1000000,1000000,4,openmp_gain,5.509401806779934,"OpenMP effect
C++ sequential / C++ OpenMP"
1000000,1000000,4,cuda_gain,0.10492365569274552,"CUDA effect
C++ sequential / C++ CUDA"
1000000,1000000,5,psock_gain,3.482078853046652,"R parallelization
R sequential / R PSOCK"
1000000,1000000,5,language_gain,495.508216740141,"Language effect
R sequential / C++ sequential"
1000000,1000000,5,openmp_gain,6.316095464335855,"OpenMP effect
C++ sequential / C++ OpenMP"
1000000,1000000,5,cuda_gain,0.10799700558492652,"CUDA effect
C++ sequential / C++ CUDA"
2000000,2000000,1,psock_gain,3.7911501049018095,"R parallelization
R sequential / R PSOCK"
2000000,2000000,1,language_gain,512.0425176901572,"Language effect
R sequential / C++ sequential"
2000000,2000000,1,openmp_gain,6.684322414763315,"OpenMP effect
C++ sequential / C++ OpenMP"
2000000,2000000,1,cuda_gain,0.14173884925515165,"CUDA effect
C++ sequential / C++ CUDA"
2000000,2000000,2,psock_gain,3.6572135515797415,"R parallelization
R sequential / R PSOCK"
2000000,2000000,2,language_gain,493.2805764002155,"Language effect
R sequential / C++ sequential"
2000000,2000000,2,openmp_gain,6.206805618671458,"OpenMP effect
C++ sequential / C++ OpenMP"
2000000,2000000,2,cuda_gain,0.14434106260187268,"CUDA effect
C++ sequential / C++ CUDA"
2000000,2000000,3,psock_gain,3.997960016319825,"R parallelization
R sequential / R PSOCK"
2000000,2000000,3,language_gain,500.7056326598842,"Language effect
R sequential / C++ sequential"
2000000,2000000,3,openmp_gain,6.906574952524839,"OpenMP effect
C++ sequential / C++ OpenMP"
2000000,2000000,3,cuda_gain,0.14471064691553912,"CUDA effect
C++ sequential / C++ CUDA"
2000000,2000000,4,psock_gain,3.8952150211992946,"R parallelization
R sequential / R PSOCK"
2000000,2000000,4,language_gain,498.7680096666843,"Language effect
R sequential / C++ sequential"
2000000,2000000,4,openmp_gain,6.620453427509001,"OpenMP effect
C++ sequential / C++ OpenMP"
2000000,2000000,4,cuda_gain,0.143885763691126,"CUDA effect
C++ sequential / C++ CUDA"
2000000,2000000,5,psock_gain,3.8440457413249107,"R parallelization
R sequential / R PSOCK"
