n_records,workload,component,repetitions,arithmetic_mean,median,geometric_mean,log_sd,log_se,log_ci95,ymin,ymax
10000,10000,"R parallelization
R sequential / R PSOCK",5,1.0952100169269707,1.1264367816094885,1.0638943107655763,0.2728910359409943,0.12204058136288029,0.33883897476046204,0.7581280920356634,1.4929813528478455
10000,10000,"Language effect
R sequential / C++ sequential",5,588.0359758533511,591.4088807889467,587.8940641504635,0.024646318761528466,0.011022168829181216,0.03060244669444388,570.1755648790661,606.1631749102663
10000,10000,"OpenMP effect
C++ sequential / C++ OpenMP",5,0.5733580979078367,0.5924249574556324,0.5704883132098043,0.1146676615467076,0.05128093720787537,0.14237870710076098,0.49478037479141995,0.657780567077196
10000,10000,"CUDA effect
C++ sequential / C++ CUDA",5,9.558060747494616e-4,0.0010544556478191698,9.129014692149249e-4,0.36887743733330947,0.16496700504863973,0.45802183368643545,5.77440912576438e-4,0.0014432456626191164
50000,50000,"R parallelization
R sequential / R PSOCK",5,3.3665445157852147,3.5220588235301493,3.359783469696117,0.07123132802769763,0.031855618319503586,0.08844537555623488,3.075388247996514,3.670478018701226
50000,50000,"Language effect
R sequential / C++ sequential",5,556.4506985817134,556.250384672091,556.4154088289454,0.012578148068374664,0.005625118822388684,0.015617833620577039,547.792913164799,565.1736262771665
50000,50000,"OpenMP effect
C++ sequential / C++ OpenMP",5,2.1423657684158357,2.1662650060810997,2.140250633979861,0.050107936575423374,0.022408950478978937,0.06221722086998082,2.0111480335445915,2.277640780215413
50000,50000,"CUDA effect
C++ sequential / C++ CUDA",5,0.005546869818028737,0.00553957467796132,0.00554681740534506,0.0048593545932356114,0.0021731694394501334,0.006033685652926756,0.005513450416934699,0.005580386328266731
100000,100000,"R parallelization
R sequential / R PSOCK",5,3.783957272945344,3.827309236947325,3.783078729516936,0.02419299283523473,0.010819435311750045,0.030039568212312573,3.671126593331729,3.8984448805768133
100000,100000,"Language effect
R sequential / C++ sequential",5,546.0958741058294,545.884876556497,546.0514349615634,0.01427167487215015,0.006382487033380671,0.01772062488281815,536.4602938064904,555.8140519736916
100000,100000,"OpenMP effect
C++ sequential / C++ OpenMP",5,3.2298122608825244,3.3096972135790086,3.2203840049786083,0.08693821245635244,0.038879950578944604,0.10794804847524286,2.890855734434137,3.58747516037914
100000,100000,"CUDA effect
C++ sequential / C++ CUDA",5,0.01107356122037157,0.011051417140604602,0.011072551285994901,0.015118411834662301,0.006761159314828443,0.018771987685117897,0.010866636253625758,0.01128236826185106
500000,500000,"R parallelization
R sequential / R PSOCK",5,3.6049605413767796,3.5374907201188672,3.6018795734537536,0.046160909595656156,0.0206437863518219,0.05731633956926492,3.4012379673031767,3.8143571800564255
500000,500000,"Language effect
R sequential / C++ sequential",5,485.7565995426117,470.9221401146706,485.0364122156084,0.0602357572794606,0.02693824959061034,0.07479257121844654,450.08272249380934,522.7046260995398
500000,500000,"OpenMP effect
C++ sequential / C++ OpenMP",5,5.994271791689603,5.956897105414662,5.9926614838283925,0.025907677909016477,0.011586265788746091,0.03216863093668473,5.802953451272094,6.188571382024074
500000,500000,"CUDA effect
C++ sequential / C++ CUDA",5,0.06009660364696714,0.060193799381043044,0.06009542366507315,0.007006978925927433,0.003133616239056441,0.008700313468496574,0.059574842534473864,0.06062055377477178
1000000,1000000,"R parallelization
R sequential / R PSOCK",5,3.530125683262151,3.5059373875494604,3.5298210965051626,0.01467638101431885,0.006563477122340853,0.018223133929400958,3.4660792460095466,3.5947351716431557
1000000,1000000,"Language effect
R sequential / C++ sequential",5,486.4699107445957,484.1636736169913,486.4207611941845,0.015889058949855345,0.007105803182075594,0.01972887246337269,476.918272940336,496.11258436795083
1000000,1000000,"OpenMP effect
C++ sequential / C++ OpenMP",5,6.21584478524298,6.316095464335855,6.204209578568607,0.06930762974733787,0.03099531429488681,0.08605678865810568,5.6926236329387505,6.761770841844903
