n_records,workload,mode,repetitions,arithmetic_mean,median,geometric_mean,log_sd,log_se,log_ci95,ymin,ymax
10000,10000,R sequential,5,0.09840000000001511,0.0980000000000132,0.09839677411475936,0.009034925378342515,0.004040541463522373,0.011218341568745422,0.09729909408026126,0.09950683763000336
10000,10000,R/PSOCK (8 workers),5,0.09539999999998372,0.08699999999998909,0.09248735811356416,0.27721599022767174,0.12397475971979828,0.3442091147921065,0.0655532540570973,0.13048797552255986
10000,10000,C++ sequential,5,1.674002e-4,1.65706e-4,1.6737160674848387e-4,0.020573269182088502,0.009200645682110278,0.025545087668754296,1.63150231632438e-4,1.7170220639760008e-4
10000,10000,C++/OpenMP (8 threads),5,2.947788e-4,2.79708e-4,2.9338305951752413e-4,0.10643225762076634,0.047597952607760716,0.13215310253525378,2.570642421168306e-4,3.348331098214133e-4
10000,10000,C++/CUDA (total),5,0.19483118559999998,0.157148383,0.1833402753666503,0.3622699978577411,0.16201206828372244,0.44981761396931186,0.11692424430406936,0.2874823504020653
50000,50000,R sequential,5,0.480600000000004,0.4779999999999518,0.4805660142904261,0.013258770147469078,0.005929502269557154,0.016462937552571166,0.4727192535966461,0.4885430249220223
50000,50000,R/PSOCK (8 workers),5,0.14339999999999692,0.13599999999996726,0.14303481716156308,0.07949154713482066,0.035549700606017524,0.09870179223882439,0.12959138203190065,0.1578728353665179
50000,50000,C++ sequential,5,8.636938e-4,8.652e-4,8.636820739775076e-4,0.005828935358599858,0.0026067791396562788,0.00723757918263039,8.574536730392337e-4,8.699557169847906e-4
50000,50000,C++/OpenMP (8 threads),5,4.040176e-4,4.00421e-4,4.0354249183025085e-4,0.05379364522230477,0.024057249494916052,0.06679363260468175,3.7746889112983626e-4,4.314171221504833e-4
50000,50000,C++/CUDA (total),5,0.1557080486,0.155773521,0.15570768079461936,0.0024304093614852026,0.0010869121090865545,0.003017751805053574,0.15523850194855626,0.1561782776445077
100000,100000,R sequential,5,0.9567999999999983,0.9529999999999744,0.9567727860058272,0.008429191015422027,0.003769648821162826,0.010466223017832161,0.9468112096240461,0.966839169980718
100000,100000,R/PSOCK (8 workers),5,0.2529999999999973,0.25200000000000955,0.25290850505984525,0.029927547950101496,0.013384006323262285,0.03715995884415789,0.2436829083989067,0.2624833737904154
100000,100000,C++ sequential,5,0.001752269,0.001751879,0.0017521660502058277,0.012119958557506258,0.005420210243812857,0.015048916200577146,0.0017259952650293113,0.0017787336557042951
100000,100000,C++/OpenMP (8 threads),5,5.45925e-4,5.25939e-4,5.440860616302392e-4,0.09011789015483017,0.04030194567501186,0.11189613979933405,4.864875430565789e-4,6.085040545958562e-4
100000,100000,C++/CUDA (total),5,0.1582458596,0.15806586,0.1582441123954921,0.005251645529021999,0.0023486072793252066,0.006520779184714377,0.15721559449476635,0.15927935894852183
500000,500000,R sequential,5,4.922200000000032,4.765000000000043,4.9165499767575085,0.05309837678051576,0.023746315995225933,0.06593034281142511,4.602854789832472,5.25162421533486
500000,500000,R/PSOCK (8 workers),5,1.3653999999999882,1.3619999999999663,1.364995657543084,0.027212276070130794,0.012169699823060657,0.03378850350546321,1.31964497730953,1.4119048510381662
500000,500000,C++ sequential,5,0.0101367388,0.010184471,0.01013645543496228,0.008370151898337378,0.003743245725336257,0.010392916271662413,0.010031653643781125,0.01024235210200586
500000,500000,C++/OpenMP (8 threads),5,0.0016920746,0.001712646,0.0016914780623461208,0.0297059301290775,0.013284895820695279,0.03688478397443203,0.0016302248593585088,0.001755032760648752
500000,500000,C++/CUDA (total),5,0.1686760946,0.168098762,0.16867266784664478,0.007119200019218676,0.003183803037678154,0.008839654359875377,0.1671882303860438,0.17017028538917706
1000000,1000000,R sequential,5,9.698599999999987,9.715000000000032,9.698488951698973,0.005354089350042192,0.0023944215488604014,0.006647979989113581,9.634227432543211,9.763179103339604
