matrix,iterations,mean_changed_rate,mean_abs_rcs_shift,interpretation
fluid,1000,0,0.04606,Numerical shifts rarely altered final grade assignment.
solid,1000,9.82e-4,0.045161,Numerical shifts rarely altered final grade assignment.
