matrix,max_morris_identity_abs_error,morris_identity_passed,first_order_variance_share_sum,variance_partition_passed,interaction_variance_share,additive_no_interaction_passed
fluid,0,TRUE,1,TRUE,0,TRUE
solid,0,TRUE,1,TRUE,0,TRUE
